horizon,frame,time,life0,life1,a0x,a0y,a0vx,a0vy,b0x,b0y,b0vx,b0vy,a1x,a1y,a1vx,a1vy,b1x,b1y,b1vx,b1vy,reward,value,action0,action1,a0v0,a0v1,a0v2,a0v3,a0v4,a0v5,a0v6,a0v7,a0v8,a1v0,a1v1,a1v2,a1v3,a1v4,a1v5,a1v6,a1v7,a1v8,c0x,c0y,c1x,c1y,c2x,c2y,c3x,c3y
102,1,0.08,1,1,-14.515203475952148,-99.46446990966797,0.7999999523162842,0.0,-8.63797664642334,-58.17411804199219,-5.000463008880615,8.388859748840332,0.03199999779462814,0.0,0.7999999523162842,0.0,12.415253639221191,-51.86408996582031,15.47343921661377,0.692176342010498,0.31071048974990845,0.38006582856178284,0,7,0.02613946795463562,0.046323008835315704,0.3889082670211792,0.19323687255382538,-0.3998882472515106,0.450948029756546,0.28989285230636597,0.1820106953382492,-0.46399804949760437,-0.08692874759435654,-0.19980721175670624,0.4154508709907532,0.6456578373908997,0.6663117408752441,1.315332293510437,-0.038525938987731934,0.2442246973514557,-0.8912787437438965,3.3965015411376953,63.1858024597168,-95.34950256347656,-15.937515258789062,-16.226184844970703,-114.68351745605469,82.51982116699219,-35.56019973754883
102,2,0.16,1,1,-14.484099388122559,-99.46446990966797,0.7775999307632446,0.0,-8.846598625183105,-57.90597152709961,-5.215550422668457,6.703690528869629,0.06310399621725082,-0.03199999779462814,0.7775999307632446,-0.7999999523162842,13.013136863708496,-51.75870132446289,14.947074890136719,2.6347267627716064,0.31154102087020874,0.37931913137435913,0,2,0.027170591056346893,0.04140244796872139,0.39262306690216064,0.1964818686246872,-0.40643444657325745,0.44677817821502686,0.27929049730300903,0.18057206273078918,-0.46201324462890625,-0.08718018233776093,-0.20287014544010162,0.4043281674385071,0.6444206237792969,0.6672825217247009,1.3197591304779053,-0.025351285934448242,0.2450680434703827,-0.8992647528648376,3.3965015411376953,63.1858024597168,-95.34950256347656,-15.937515258789062,-16.226184844970703,-114.68351745605469,82.51982116699219,-35.56019973754883
102,3,0.24000000000000002,1,1,-14.453866004943848,-99.46446990966797,0.7558271288871765,0.0,-9.063405990600586,-57.70539093017578,-5.4201884269714355,5.014535903930664,0.11596449464559555,-0.04047657921910286,1.3215124607086182,-0.2119145393371582,13.58919906616211,-51.57612991333008,14.401566505432129,4.5643110275268555,0.31265896558761597,0.3785732686519623,0,4,0.02379506826400757,0.03483187407255173,0.39699843525886536,0.19790810346603394,-0.4111928641796112,0.43850764632225037,0.27158141136169434,0.17650489509105682,-0.4636071026325226,-0.08766832947731018,-0.20496851205825806,0.393953800201416,0.6418091058731079,0.6681762337684631,1.3282779455184937,-0.01173970103263855,0.25064581632614136,-0.908550500869751,3.3965015411376953,63.1858024597168,-95.34950256347656,-15.937515258789062,-16.226184844970703,-114.68351745605469,82.51982116699219,-35.56019973754883
102,4,0.32,1,1,-14.424479484558105,-99.46446990966797,0.7346639633178711,0.0,-9.287971496582031,-57.572425842285156,-5.614126205444336,3.3241147994995117,0.1447174847126007,-0.026088401675224304,0.7188247442245483,0.35970446467399597,14.142723083496094,-51.316890716552734,13.838090896606445,6.481020927429199,0.3131798505783081,0.37799516320228577,0,6,0.021565068513154984,0.0308137908577919,0.4019898474216461,0.1975659728050232,-0.4123408794403076,0.4320637881755829,0.26408177614212036,0.17216762900352478,-0.46256130933761597,-0.08388714492321014,-0.20615094900131226,0.3803004026412964,0.6418236494064331,0.6686838269233704,1.3331067562103271,-0.0011057257652282715,0.2536620497703552,-0.9151246547698975,3.3965015411376953,63.1858024597168,-95.34950256347656,-15.937515258789062,-16.226184844970703,-114.68351745605469,82.51982116699219,-35.56019973754883
102,5,0.39999999999999997,1,1,-14.395915985107422,-99.46446990966797,0.7140933871269226,0.0,-9.519856452941895,-57.50701904296875,-5.7971296310424805,1.6351364850997925,0.1500379741191864,-0.03473050892353058,0.13301223516464233,-0.21605265140533447,14.672969818115234,-50.981510162353516,13.2561674118042,8.384532928466797,0.31332945823669434,0.37745946645736694,0,1,0.021823979914188385,0.026928842067718506,0.4064387381076813,0.1994374543428421,-0.4156116843223572,0.428927481174469,0.2532617747783661,0.16998574137687683,-0.4592788815498352,-0.08141493797302246,-0.20797406136989594,0.36677759885787964,0.6411646604537964,0.6691402196884155,1.3347575664520264,0.009355932474136353,0.25382524728775024,-0.9208429455757141,3.3965015411376953,63.1858024597168,-95.34950256347656,-15.937515258789062,-16.226184844970703,-114.68351745605469,82.51982116699219,-35.56019973754883
102,6,0.4799999999999999,1,1,-14.368151664733887,-99.46446990966797,0.6940987706184387,0.0,-9.758615493774414,-57.50900650024414,-5.9689836502075195,-0.04970204830169678,0.18720948696136475,-0.04313063621520996,0.929287850856781,-0.21000318229198456,15.179163932800293,-50.570533752441406,12.654862403869629,10.274374008178711,0.31414997577667236,0.3769688606262207,0,4,0.018637340515851974,0.019610829651355743,0.4108181893825531,0.2021993100643158,-0.420989453792572,0.4227205514907837,0.24285513162612915,0.1668587028980255,-0.4597083330154419,-0.08304020762443542,-0.2100481390953064,0.35618990659713745,0.63683021068573,0.6698634624481201,1.3408739566802979,0.02240528166294098,0.25841236114501953,-0.9291732311248779,3.3965015411376953,63.1858024597168,-95.34950256347656,-15.937515258789062,-16.226184844970703,-114.68351745605469,82.51982116699219,-35.56019973754883
102,7,0.5599999999999999,1,1,-14.341165542602539,-99.46446990966797,0.6746640205383301,0.0,-10.00379467010498,-57.5781135559082,-6.129488945007324,-1.7277216911315918,0.20071278512477875,-0.02866814285516739,0.33758240938186646,0.3615623116493225,15.660577774047852,-50.08450698852539,12.035338401794434,12.150656700134277,0.31437915563583374,0.3765852451324463,0,6,0.015530839562416077,0.01538579910993576,0.4160764217376709,0.20176179707050323,-0.4212093651294708,0.41718974709510803,0.23418420553207397,0.1623808592557907,-0.4581886827945709,-0.07883225381374359,-0.210495725274086,0.3417641520500183,0.6359500288963318,0.6700975298881531,1.3435988426208496,0.0316886305809021,0.26142269372940063,-0.934600293636322,3.3965015411376953,63.1858024597168,-95.34950256347656,-15.937515258789062,-16.226184844970703,-114.68351745605469,82.51982116699219,-35.56019973754883
102,8,0.64,1,1,-14.314934730529785,-99.46446990966797,0.655773401260376,0.0,-10.25493335723877,-57.71396255493164,-6.278465747833252,-3.3962650299072266,0.1912105679512024,-0.03723801672458649,-0.23755529522895813,-0.21424680948257446,16.116456985473633,-49.52398681640625,11.397000312805176,14.01298713684082,0.31420785188674927,0.3762681782245636,0,1,0.014892447739839554,0.01121557131409645,0.4207489788532257,0.2034563273191452,-0.4235517978668213,0.4149812161922455,0.22224247455596924,0.16006280481815338,-0.4544579088687897,-0.07598541676998138,-0.21160246431827545,0.32757699489593506,0.6343112587928772,0.6702476739883423,1.3431295156478882,0.040663883090019226,0.26163995265960693,-0.9390992522239685,3.3965015411376953,63.1858024597168,-95.34950256347656,-15.937515258789062,-16.226184844970703,-114.68351745605469,82.51982116699219,-35.56019973754883
102,9,0.7200000000000001,1,1,-14.289438247680664,-99.46446990966797,0.6374117732048035,0.0,-10.511563301086426,-57.91606903076172,-6.415751934051514,-5.052700042724609,0.21397441625595093,-0.04556793347001076,0.5690962076187134,-0.20824790000915527,16.54600715637207,-48.889556884765625,10.738738059997559,15.8607816696167,0.3147246241569519,0.375955730676651,0,4,0.010796673595905304,0.003635093569755554,0.4253564178943634,0.2059447467327118,-0.42790910601615906,0.4096857011318207,0.21068161725997925,0.15687599778175354,-0.4544299840927124,-0.07718943804502487,-0.2131112962961197,0.3162696361541748,0.6289509534835815,0.6707140207290649,1.3470537662506104,0.05224609375,0.2662857472896576,-0.9463124871253967,3.3965015411376953,63.1858024597168,-95.34950256347656,-15.937515258789062,-16.226184844970703,-114.68351745605469,82.51982116699219,-35.56019973754883
102,10,0.8000000000000002,1,1,-14.264656066894531,-99.46446990966797,0.6195642352104187,0.0,-10.773211479187012,-58.18384552001953,-6.54120397567749,-6.694425582885742,0.21347345411777496,-0.03103719651699066,-0.012523889541625977,0.3632684350013733,16.948469161987305,-48.181793212890625,10.061554908752441,17.69411277770996,0.3146587014198303,0.3757680654525757,0,6,0.006792858242988586,-0.0008609741926193237,0.43069425225257874,0.20525403320789337,-0.42729562520980835,0.40513303875923157,0.2009029984474182,0.1523543894290924,-0.45243531465530396,-0.0726235955953598,-0.21293696761131287,0.30121707916259766,0.6271583437919617,0.6708105206489563,1.347630500793457,0.06015145778656006,0.26938533782958984,-0.9505833387374878,3.3965015411376953,63.1858024597168,-95.34950256347656,-15.937515258789062,-16.226184844970703,-114.68351745605469,82.51982116699219,-35.56019973754883
